a	b	c
0.94881139	0.69569515	0.092809157
0.323124219	0.395190213	0.669198699
0.508364448	0.797495802	0.90937034
0.961437863	0.891866918	0.752456931
0.116708543	0.984869357	0.757484697
0.903741681	0.167972938	0.930620305
0.013962037	0.719260034	0.733522831
0.368119132	0.277345729	0.047152285
0.883958961	0.750198061	0.883105602
0.115653376	0.602842572	0.002870503
0.717621951	0.319891993	0.308643401
0.469455378	0.323723243	0.100194961
0.526140287	0.837315853	0.459644564
0.488716352	0.141756183	0.906582955
0.674207198	0.284493948	0.77840529
0.118860081	0.567788804	0.497314152
0.513096417	0.83652089	0.080130264
0.84079653	0.357996926	0.031651142
0.387097989	0.523522473	0.341358468
0.536858529	0.97808063	0.604130788
0.693115939	0.244512548	0.479024018
0.635786419	0.371349987	0.049703791
0.230088699	0.423802279	0.18272289
0.479311295	0.145020789	0.689487157
0.955667596	0.530537357	0.081011317
0.259766556	0.1105873	0.030350555
0.858660462	0.276525426	0.623374487
0.795223013	0.145795648	0.35814826
0.673825247	0.2342336	0.252390079
0.196730798	0.916004802	0.418515797
